# Rime user dictionary
#@/db_name	luna_pinyin.userdb.kct
#@/db_type	userdb
#@/rime_version	0.9.7
#@/tick	125272
#@/user_id	10b11703-f11b-4ced-93f3-8972fad5e0e5
a 	啊	c=1470 d=8.42141 t=125272
xiao zai 	小仔	c=2 d=1.44185e-99 t=125272
xiao zhang 	校長	c=2 d=1.36388e-232 t=125272
xiao zheng 	肖錚	c=11 d=1.38936e-212 t=125272
xiao zu 	小組	c=25 d=2.77122e-21 t=125272
xie 	些	c=7 d=9.75974e-09 t=125272
xie 	寫	c=211 d=0.568363 t=125272
xie 	謝	c=6 d=1.32919e-83 t=125272
xie 	鞋	c=2 d=1.35822e-83 t=125272
xie ban 	協辦	c=1 d=1.25591e-63 t=125272
xie cheng 	寫成	c=1 d=1.06159e-56 t=125272
xie cheng 	攜程	c=4 d=1.03436e-162 t=125272
xie cuo 	寫錯	c=11 d=0.00169512 t=125272
xie dai 	攜帶	c=0 d=1.71743e-187 t=125272
xie dai ma 	攜帶嗎	c=1 d=1.72604e-186 t=125272
xie dao 	寫到	c=3 d=0.0584257 t=125272
xie de 	寫的	c=0 d=0.1 t=124837
xie dian 	寫點	c=2 d=0.00657159 t=125272
xie duo 	懈惰	c=4 d=3.81153e-28 t=125272
xie e 	邪惡	c=1 d=5.08122e-124 t=125272
xie fa 	寫法	c=2 d=3.27347e-10 t=125272
xie gan 	謝感	c=1 d=7.62403e-221 t=125272
xie gang 	斜槓	c=5 d=3.7748e-245 t=125272
xie gang 	謝剛	c=15 d=2.27856e-34 t=125272
xie ge 	寫個	c=3 d=9.66232e-38 t=125272
xie gei 	寫給	c=3 d=4.90869e-06 t=125272
xie guo 	寫過	c=2 d=1.31529e-77 t=125272
xie hao 	寫好	c=8 d=0.0175097 t=125272
xie hao 	攜號	c=1 d=3.25881e-16 t=125272
xie he 	協和	c=4 d=1.00938e-100 t=125272
xie hou 	邂逅	c=3 d=1.21872e-121 t=125272
xie hui 	協會	c=1 d=7.64612e-255 t=125272
xie quan 	寫全	c=1 d=4.47744e-77 t=125272
xie ru 	寫入	c=1 d=1 t=124586
xie shang 	協商	c=1 d=3.90261e-225 t=125272
xie shang 	寫上	c=1 d=3.92217e-225 t=125272
xie shi 	斜視	c=1 d=1.02867e-09 t=125272
xie tian 	謝天	c=1 d=3.047e-137 t=125272
xie tiao 	協調	c=2 d=1.53214e-49 t=125272
xie wan 	寫完	c=11 d=0.00436124 t=125272
xie xie 	謝謝	c=37 d=0.540204 t=125272
xie xin 	寫信	c=1 d=3.08631e-82 t=125272
xie yi 	協議	c=1 d=5.70557e-252 t=125272
xie zai 	卸載	c=4 d=5.82414e-53 t=125272
xie zhang 	寫張	c=2 d=3.96248e-73 t=125272
xie zhe 	歇着	c=1 d=1.82947e-253 t=125272
xie zi 	寫字	c=3 d=1.28613e-65 t=125272
xie zi 	鞋子	c=8 d=2.98703e-67 t=125272
xie zuo 	寫作	c=5 d=3.49186e-84 t=125272
xin 	信	c=13 d=0.650509 t=125272
xin 	心	c=7 d=1.77405e-09 t=125272
xin 	新	c=98 d=0.647601 t=125272
xin ban 	新版	c=16 d=0.00419023 t=125272
xin bao 	信報	c=1 d=2.57477e-244 t=125272
xin biao qian 	新標籤	c=1 d=2.8803e-34 t=125272
xin chan pin 	新產品	c=1 d=1 t=124189
xin chao 	新潮	c=1 d=1.10962e-106 t=125272
xin cheng 	心誠	c=1 d=2.0424e-166 t=125272
xin ci 	新詞	c=1 d=7.18983e-237 t=125272
xin cun 	新村	c=1 d=5.3925e-147 t=125272
xin dan 	新蛋	c=1 d=1.76509e-67 t=125272
xin de 	心得	c=1 d=3.51049e-97 t=125272
xin de 	新的	c=1 d=3.49298e-97 t=125272
xin di 	新低	c=1 d=3.18965e-234 t=125272
xin di 	鑫地	c=1 d=3.23786e-234 t=125272
xin dong 	心動	c=4 d=1.1752e-105 t=125272
xin gong zuo 	新工作	c=3 d=1.27467e-61 t=125272
xin hao 	信號	c=2 d=2.13568e-125 t=125272
xin hua 	新華	c=0 d=7.73769e-249 t=125272
xin hua tu shu guan 	新華圖書館	c=1 d=7.77647e-248 t=125272
xin hun 	新婚	c=4 d=1.63433e-132 t=125272
xin jian 	新建	c=6 d=2.53315e-52 t=125272
xin jiang 	新疆	c=10 d=4.52028e-42 t=125272
xin ku 	辛苦	c=6 d=7.41449e-11 t=125272
xin la 	辛辣	c=1 d=3.51886e-125 t=125272
xin lang 	新浪	c=6 d=3.71703e-05 t=125272
xin li 	心理	c=25 d=0.0138427 t=125272
xin li 	心裏	c=1 d=1.16553e-243 t=125272
xin li pi bei 	心理疲憊	c=1 d=7.22112e-53 t=125272
xin li ya li 	心理壓力	c=1 d=1.05343e-171 t=125272
xin ling 	心靈	c=2 d=7.10664e-159 t=125272
xin long 	新龍	c=0 d=7.06398e-148 t=125272
xin long cheng 	新龍城	c=4 d=3.03594e-146 t=125272
xin luan ru ma 	心亂如麻	c=1 d=1.18065e-130 t=125272
xin nian 	新年	c=2 d=9.69271e-37 t=125272
xin niang 	新娘	c=2 d=2.40493e-35 t=125272
xin qin 	辛勤	c=1 d=1.79689e-130 t=125272
xin qing 	心情	c=11 d=2.7208e-62 t=125272
xin qu 	新區	c=0 d=4.19013e-180 t=125272
xin qu xiu 	新區休	c=1 d=4.21113e-179 t=125272
xin ren 	信任	c=2 d=1.0165e-16 t=125272
xin sheng 	新生	c=1 d=1.36608e-111 t=125272
xin shu 	新書	c=1 d=5.04605e-13 t=125272
xin shu tu shu guan 	新書圖書館	c=1 d=7.73769e-248 t=125272
xin shui 	薪水	c=18 d=5.96988e-29 t=125272
xin si 	心思	c=2 d=5.44166e-48 t=125272
xin si 	心死	c=1 d=1.20302e-145 t=125272
xin tai 	心態	c=7 d=8.07339e-42 t=125272
xin teng 	心疼	c=3 d=5.18916e-136 t=125272
xin tie 	新帖	c=2 d=1.61427e-75 t=125272
xin wen 	新聞	c=3 d=0.941765 t=125272
xin xi 	信息	c=54 d=0.0583293 t=125272
xin xi lan 	新西蘭	c=1 d=7.67654e-96 t=125272
xin xian 	新鮮	c=1 d=1.00879e-191 t=125272
xin xian jin 	新先進	c=1 d=2.26636e-243 t=125272
xin xiang 	信箱	c=10 d=1.28038e-33 t=125272
xin xue 	心血	c=1 d=1.40209e-123 t=125272
xin ye 	心也	c=1 d=4.102e-223 t=125272
xin ye mian 	新頁面	c=1 d=2.79071e-74 t=125272
xin yi 	心意	c=1 d=1.45272e-11 t=125272
xin ying 	新穎	c=2 d=1.75316e-45 t=125272
xin yong 	信用	c=11 d=3.24763e-05 t=125272
xin yong ka 	信用卡	c=28 d=0.00415857 t=125272
xin yong ka kan 	信用卡看	c=1 d=0.0417941 t=125272
xin yu 	心語	c=0 d=9.11801e-239 t=125272
xin yu xin yuan 	心語心願	c=1 d=9.16372e-238 t=125272
xin yuan 	心願	c=0 d=9.11801e-239 t=125272
xin zang 	新藏	c=1 d=2.20086e-105 t=125272
xin zang 	新髒	c=1 d=1.02035e-178 t=125272
xin zang xian 	新藏線	c=1 d=2.2119e-104 t=125272
xin zhao 	新招	c=1 d=1.99956e-05 t=125272
xin zi 	薪資	c=6 d=3.25628e-95 t=125272
xing 	型	c=2 d=1.69859e-27 t=125272
xing 	性	c=6 d=8.89973e-12 t=125272
xing 	星	c=1 d=4.52797e-62 t=125272
xing 	行	c=101 d=2.23627e-14 t=125272
xing 	醒	c=2 d=2.73637e-11 t=125272
xing ai 	性愛	c=1 d=5.6204e-134 t=125272
xing bie 	性別	c=6 d=8.47703e-55 t=125272
xing bu lai 	醒不來	c=1 d=6.20239e-58 t=125272
xing cheng 	形成	c=10 d=4.73287e-75 t=125272
xing cheng 	行程	c=17 d=1.09869e-19 t=125272
xing dong 	行動	c=1 d=1.60775e-145 t=125272
xing fu 	幸福	c=11 d=1.18938e-11 t=125272
xing gan 	性感	c=6 d=0.802519 t=125272
xing ge 	性格	c=3 d=1.71537e-25 t=125272
xing hai 	星海	c=0 d=5.48034e-191 t=125272
xing hai wan 	星海玩	c=1 d=5.50781e-190 t=125272
xing jia 	星家	c=1 d=1.15437e-96 t=125272
xing jia bi 	性價比	c=3 d=4.83505e-128 t=125272
xing jia quan 	星家全	c=1 d=2.65959e-96 t=125272
xing ku 	行庫	c=1 d=1.93211e-160 t=125272
xing kui 	幸虧	c=1 d=9.42093e-152 t=125272
xing lai 	醒來	c=3 d=1.95132e-100 t=125272
xing li 	行李	c=11 d=2.67909e-35 t=125272
xing mei 	星美	c=1 d=1.20441e-41 t=125272
xing ming 	姓名	c=6 d=2.46681e-05 t=125272
xing mu 	醒目	c=1 d=1.75475e-233 t=125272
xing neng 	性能	c=2 d=0.0237541 t=125272
xing qi 	星期	c=14 d=0.00145173 t=125272
xing qi tian 	星期天	c=3 d=3.76448e-139 t=125272
xing qi wu 	星期五	c=1 d=1 t=124955
xing qu 	興趣	c=15 d=1.18878e-05 t=125272
xing quan 	行權	c=2 d=1.91152e-96 t=125272
xing quan jia 	行權價	c=6 d=9.84756e-96 t=125272
xing shang 	行商	c=1 d=2.7459e-60 t=125272
xing shi 	形式	c=1 d=1.55906e-48 t=125272
xing shi 	行使	c=1 d=2.84485e-06 t=125272
xing shui 	行睡	c=1 d=5.80378e-100 t=125272
xing wei 	行爲	c=1 d=3.67347e-219 t=125272
xing xi 	星系	c=3 d=9.28533e-11 t=125272
xing xiang 	形象	c=3 d=1.85465e-61 t=125272
xing xing 	星星	c=3 d=2.06955e-133 t=125272
xing xing 	醒醒	c=1 d=8.21583e-130 t=125272
xing ya yi 	性壓抑	c=1 d=1.16608e-131 t=125272
xing ye 	星夜	c=9 d=6.90578e-12 t=125272
xing yong 	行佣	c=2 d=5.35882e-44 t=125272
xing yun 	幸運	c=1 d=2.04651e-219 t=125272
xing zong 	行蹤	c=1 d=3.33555e-172 t=125272
xing zuo 	星座	c=13 d=7.21811e-07 t=125272
xiong 	兇	c=2 d=2.70611e-06 t=125272
xiong 	熊	c=0 d=5.57982e-138 t=125272
xiong 	胸	c=2 d=1.79188e-09 t=125272
xiong chu mo 	熊出沒	c=1 d=5.6078e-137 t=125272
xiong di 	兄弟	c=1 d=1.0008e-215 t=125272
xiong di lian 	兄弟連	c=1 d=7.8223e-82 t=125272
xiong mao 	熊貓	c=3 d=1.57666e-34 t=125272
xiong mao xue 	熊貓血	c=1 d=1.58456e-33 t=125272
xiong mei 	兄妹	c=1 d=5.03703e-227 t=125272
xiong mo yan 	胸膜炎	c=1 d=0.0152985 t=125272
xiong tai 	兄臺	c=1 d=1 t=123484
xiu 	休	c=39 d=1.12876e-05 t=125272
xiu 	修	c=2 d=4.60924e-36 t=125272
xiu 	秀	c=1 d=2.00026e-156 t=125272
xiu 	羞	c=2 d=4.99499e-11 t=125272
xiu a 	休啊	c=1 d=2.42912e-206 t=125272
xiu bu wan 	休不玩	c=1 d=6.79328e-246 t=125272
xiu che 	修車	c=1 d=1.25277e-151 t=125272
xiu dou 	秀逗	c=2 d=6.45468e-174 t=125272
xiu fu 	修復	c=9 d=2.53012e-09 t=125272
xiu ga 	休噶	c=2 d=9.6904e-219 t=125272
xiu gai 	修改	c=175 d=0.543569 t=125272
xiu gai wan 	修改完	c=1 d=1.49454e-227 t=125272
xiu gai wei 	修改爲	c=2 d=2.15847e-228 t=125272
xiu gao 	休高	c=3 d=3.70753e-41 t=125272
xiu hao 	修好	c=1 d=1.39353e-51 t=125272
xiu ji 	修己	c=1 d=1.14322e-104 t=125272
xiu jia 	休假	c=39 d=1.23729e-05 t=125272
xiu jia ai 	休假哎	c=1 d=1.14895e-104 t=125272
xiu lu 	修路	c=3 d=3.77839e-168 t=125272
xiu qiu 	繡球	c=1 d=2.05767e-136 t=125272
xiu si 	羞死	c=1 d=4.86126e-74 t=125272
xiu wai 	休外	c=1 d=1.00045e-211 t=125272
xiu wan 	休完	c=10 d=1.57896e-192 t=125272
xiu wan 	繡完	c=1 d=4.59943e-246 t=125272
xiu wan jia 	休完假	c=1 d=5.4822e-194 t=125272
xiu wan jia 	休玩家	c=1 d=5.45486e-194 t=125272
xiu xi 	休息	c=19 d=0.416421 t=125272
xiu xi ba 	休息吧	c=1 d=1 t=125002
xiu xing 	修行	c=1 d=7.82255e-53 t=125272
xiu xiu 	羞羞	c=2 d=5.35774e-71 t=125272
xiu yang 	修養	c=0 d=5.67205e-125 t=125272
xiu zheng 	休整	c=1 d=1.37733e-178 t=125272
xiu zheng 	修整	c=1 d=1.36362e-178 t=125272
xiu zheng 	修正	c=6 d=1.3568e-59 t=125272
xiu zheng wei 	修正爲	c=1 d=8.60632e-235 t=125272
xiu zheng zhi 	修正只	c=1 d=1.2681e-59 t=125272
xu 	噓	c=2 d=3.17176e-21 t=125272
xu 	虛	c=1 d=2.51273e-163 t=125272
xu 	許	c=5 d=5.42006e-60 t=125272
xu a 	許啊	c=1 d=1.68812e-160 t=125272
xu ao 	許熬	c=1 d=4.72325e-235 t=125272
xu chuan 	續傳	c=16 d=1.89888e-154 t=125272
xu ci 	虛詞	c=1 d=5.23024e-23 t=125272
xu da ye 	許大爺	c=2 d=4.2559e-239 t=125272
xu du 	虛度	c=1 d=6.10238e-102 t=125272
xu duo 	許多	c=1 d=6.13297e-102 t=125272
xu ei 	需誒	c=1 d=1.13884e-252 t=125272
xu ei gang 	需誒剛	c=1 d=8.17796e-252 t=125272
xu fei 	續費	c=2 d=1.75541e-17 t=125272
xu ge la di 	許格拉第	c=1 d=1.96013e-241 t=125272
xu hui 	徐匯	c=1 d=1.13605e-177 t=125272
xu lie 	序列	c=1 d=4.02032e-16 t=125272
xu lie hao 	序列號	c=2 d=3.77321e-05 t=125272
xu ni ji 	虛擬機	c=7 d=0.411375 t=125272
xu qian 	續簽	c=2 d=5.92062e-91 t=125272
xu qiu 	需求	c=27 d=1.78533e-25 t=125272
xu wei 	許巍	c=1 d=1.75819e-21 t=125272
xu xian 	虛線	c=1 d=1.4442e-30 t=125272
xu ya 	許丫	c=3 d=4.67765e-121 t=125272
xu yai 	許崖	c=5 d=2.00885e-30 t=125272
xu yao 	需要	c=216 d=1.41885 t=125272
xu yuan 	許願	c=0 d=3.66025e-207 t=125272
xu zhi mo 	徐志摩	c=3 d=6.99816e-66 t=125272
xuan 	宣	c=1 d=6.39175e-147 t=125272
xuan 	弦	c=0 d=2.72795e-219 t=125272
xuan 	炫	c=1 d=1.97381e-29 t=125272
xuan 	選	c=33 d=0.0472032 t=125272
xuan dao 	宣導	c=1 d=1.79701e-72 t=125272
xuan dao 	選到	c=1 d=2.37768e-72 t=125272
xuan de 	玄德	c=2 d=2.41536e-249 t=125272
xuan ding 	選定	c=6 d=9.63932e-10 t=125272
xuan ge 	選個	c=1 d=1.72351e-110 t=125272
xuan hao 	選好	c=1 d=1.55398e-39 t=125272
xuan le 	玄了	c=1 d=3.6881e-207 t=125272
xuan ran 	渲染	c=3 d=3.71173e-47 t=125272
xuan shou 	選手	c=1 d=5.74059e-177 t=125272
xuan ti 	選題	c=4 d=4.97229e-56 t=125272
xuan tian 	喧天	c=1 d=2.31378e-75 t=125272
xuan tian 	選填	c=4 d=6.4015e-18 t=125272
xuan xiang 	選項	c=3 d=8.84301e-25 t=125272
xuan xing 	選型	c=3 d=1.43419e-95 t=125272
xuan ya 	懸崖	c=1 d=4.18839e-86 t=125272
xuan yao 	炫耀	c=1 d=2.75536e-218 t=125272
xuan ze 	選擇	c=49 d=0.442639 t=125272
xuan zhong 	選中	c=1 d=8.71432e-29 t=125272
xuan zi 	選字	c=1 d=0.0980199 t=125272
xue 	學	c=65 d=1.37911e-26 t=125272
xue 	血	c=2 d=1.71566e-27 t=125272
xue 	雪	c=4 d=2.19916e-06 t=125272
xue bu dao 	學不到	c=1 d=2.17373e-252 t=125272
xue bu hao 	學不好	c=1 d=8.50296e-93 t=125272
xue bu hui 	學不會	c=1 d=4.94145e-90 t=125272
xue chang gui 	血常規	c=1 d=4.24316e-33 t=125272
xue dao 	雪道	c=3 d=1.28003e-07 t=125272
xue di 	學弟	c=1 d=1.01651e-163 t=125272
xue di 	雪地	c=1 d=1.01143e-163 t=125272
xue fei 	學費	c=1 d=1.30082e-94 t=125272
xue hao 	學好	c=1 d=8.34959e-26 t=125272
xue hui 	學會	c=26 d=1.35404e-06 t=125272
xue hui de 	學會的	c=1 d=3.78442e-128 t=125272
xue li 	學歷	c=6 d=5.75152e-52 t=125272
xue long 	學龍	c=1 d=1.62164e-11 t=125272
xue ming 	學名	c=2 d=0.00343067 t=125272
xue qi 	學期	c=1 d=1 t=123699
xue se 	血色	c=1 d=7.17482e-154 t=125272
xue se lang man 	血色浪漫	c=4 d=3.16649e-148 t=125272
xue shan 	雪山	c=2 d=3.53048e-105 t=125272
xue shang 	學上	c=1 d=3.9335e-112 t=125272
xue shen 	血蔘	c=0 d=3.90498e-145 t=125272
xue sheng 	學生	c=24 d=2.3827e-38 t=125272
xue sheng ban 	學生版	c=3 d=1.28845e-42 t=125272
xue wei 	學位	c=1 d=2.22684e-95 t=125272
xue xi 	學習	c=57 d=0.13591 t=125272
xue xiang 	雪鄉	c=4 d=0.0131019 t=125272
xue xiao 	學校	c=14 d=0.0507928 t=125272
xue xing 	血型	c=4 d=1.27422e-26 t=125272
xue xing 	血腥	c=2 d=3.64815e-79 t=125272
xue xue 	學學	c=3 d=1.81421e-37 t=125272
xue ye 	學業	c=4 d=2.75555e-167 t=125272
xue ye 	血液	c=1 d=2.59728e-170 t=125272
xue ying yu 	學英語	c=1 d=4.84345e-119 t=125272
xue yuan 	學院	c=4 d=7.85544e-112 t=125272
xue zhang 	雪仗	c=1 d=7.65616e-06 t=125272
xue zi 	靴子	c=1 d=1.84182e-97 t=125272
xun 	訓	c=1 d=3.49272e-08 t=125272
xun huan 	循環	c=1 d=7.09261e-77 t=125272
xun lei 	迅雷	c=10 d=4.34687e-23 t=125272
xun lian 	訓練	c=4 d=4.36866e-23 t=125272
xun mu 	尋母	c=1 d=1.20954e-91 t=125272
xun wen 	詢問	c=1 d=1 t=125122
xun zhi 	尋址	c=1 d=3.96184e-167 t=125272
ya 	丫	c=117 d=0.141396 t=125272
ya 	呀	c=5 d=0.00251465 t=125272
ya 	壓	c=2 d=1.40859e-148 t=125272
ya 	押	c=3 d=0.000102566 t=125272
ya an 	雅安	c=1 d=2.81504e-176 t=125272
ya chi 	牙齒	c=2 d=3.04102e-76 t=125272
ya ding 	亞丁	c=0 d=2.52549e-106 t=125272
ya gao 	牙膏	c=1 d=5.12808e-85 t=125272
ya hei 	雅黑	c=3 d=2.68089e-68 t=125272
ya hu 	雅虎	c=2 d=6.68966e-69 t=125272
ya huan 	丫鬟	c=0 d=1.64095e-63 t=125272
ya huan ming 	丫鬟命	c=1 d=1.64917e-62 t=125272
ya jin 	押金	c=6 d=0.145712 t=125272
ya li 	壓力	c=26 d=2.73997e-05 t=125272
ya ma 	亞麻	c=0 d=1.79897e-27 t=125272
ya ma lu 	壓馬路	c=1 d=8.98612e-08 t=125272
ya ma xue 	亞麻學	c=1 d=1.80798e-26 t=125272
ya ma xun 	亞馬遜	c=2 d=1.81705e-26 t=125272
ya mi 	啞謎	c=0 d=3.53375e-205 t=125272
ya mi dai 	啞謎帶	c=1 d=3.55146e-204 t=125272
ya ou 	亞歐	c=2 d=3.6473e-135 t=125272
ya qian 	牙籤	c=1 d=4.89978e-108 t=125272
ya shua 	牙刷	c=2 d=1.47007e-33 t=125272
ya shua tou 	牙刷頭	c=1 d=9.79278e-225 t=125272
ya si 	雅思	c=4 d=1.9949e-29 t=125272
ya suo 	壓縮	c=12 d=0.0518189 t=125272
ya suo bao 	壓縮包	c=3 d=2.11297e-07 t=125272
ya xin 	亞信	c=5 d=5.00792e-12 t=125272
ya yi 	壓抑	c=2 d=3.44448e-09 t=125272
ya yun cun 	亞運村	c=2 d=2.09337e-15 t=125272
ya zhou 	亞洲	c=1 d=5.91441e-175 t=125272
yai 	崖	c=3 d=3.60706e-34 t=125272
yan 	咽	c=1 d=3.077e-164 t=125272
yan 	沿	c=12 d=4.57768e-14 t=125272
yan 	眼	c=1 d=9.7827e-66 t=125272
yan bao 	延保	c=1 d=0.000147748 t=125272
yan chang 	延長	c=2 d=0.000141955 t=125272
yan chuan 	延川	c=2 d=0.893978 t=125272
yan dai 	眼袋	c=1 d=9.34407e-232 t=125272
yan fu 	眼福	c=1 d=5.32074e-254 t=125272
yan ge 	嚴格	c=3 d=1.18094e-16 t=125272
yan guang 	眼光	c=1 d=2.21168e-191 t=125272
yan hai 	沿海	c=1 d=1.61718e-155 t=125272
yan hou 	延後	c=1 d=1.9735e-174 t=125272
yan hua 	煙花	c=4 d=2.83751e-05 t=125272
yan hua 	眼花	c=1 d=1.41653e-214 t=125272
yan ji 	演技	c=2 d=0.151829 t=125272
yan jiang 	演講	c=3 d=4.91612e-59 t=125272
yan jin 	嚴謹	c=2 d=8.73752e-119 t=125272
yan jing 	眼睛	c=9 d=2.96865e-07 t=125272
yan jing 	眼鏡	c=4 d=1.62012e-73 t=125272
yan jiu 	研究	c=6 d=0.0765355 t=125272
yan jiu yuan 	研究院	c=1 d=2.4556e-69 t=125272
yan liao 	顏料	c=0 d=8.76106e-181 t=125272
yan liao tong 	顏料桶	c=1 d=8.80497e-180 t=125272
yan mo 	淹沒	c=1 d=7.75312e-07 t=125272
yan qi 	延期	c=3 d=3.00202e-21 t=125272
yan qian 	眼前	c=1 d=3.53695e-09 t=125272
yan qing 	延慶	c=1 d=3.99755e-08 t=125272
yan qiu 	眼球	c=1 d=5.22156e-121 t=125272
yan ren 	閹人	c=1 d=8.92675e-77 t=125272
yan se 	顏色	c=20 d=3.51642 t=125272
yan she 	顏射	c=2 d=1.7461e-28 t=125272
yan shen 	眼神	c=1 d=2.19938e-243 t=125272
yan shi 	偃師	c=1 d=2.48898e-22 t=125272
yan shi 	延時	c=1 d=2.70345e-112 t=125272
yan shi 	演示	c=2 d=2.44626e-83 t=125272
yan shou 	驗收	c=1 d=6.55091e-201 t=125272
yan shui 	淹水	c=1 d=8.29504e-184 t=125272
yan si 	淹死	c=8 d=1.09287e-182 t=125272
yan su 	嚴肅	c=5 d=2.29543e-32 t=125272
yan sui 	芫荽	c=1 d=1.3272e-183 t=125272
yan tai 	煙臺	c=21 d=9.38724e-14 t=125272
yan tan 	言談	c=2 d=7.83862e-193 t=125272
yan tu 	沿途	c=3 d=9.84769e-105 t=125272
yan xue 	厭學	c=1 d=2.2712e-33 t=125272
yan xue 	驗血	c=4 d=1.66204e-26 t=125272
yan xue xi 	沿學習	c=1 d=9.32522e-32 t=125272
yan yao shui 	眼藥水	c=1 d=3.70605e-29 t=125272
yan yu 	言語	c=1 d=9.55161e-167 t=125272
yan yu 	豔遇	c=8 d=0.591555 t=125272
yan yuan 	演員	c=1 d=7.94328e-233 t=125272
yan zhe 	沿着	c=1 d=2.26929e-170 t=125272
yan zheng 	嚴正	c=2 d=5.25781e-27 t=125272
yan zheng 	驗證	c=24 d=2.03227e-06 t=125272
yan zheng ma 	驗證碼	c=3 d=4.40582e-05 t=125272
yan zhi 	醃製	c=1 d=5.86572e-166 t=125272
yan zhong 	嚴重	c=11 d=0.217621 t=125272
yan zou jia 	演奏家	c=1 d=7.33946e-09 t=125272
yang 	楊	c=3 d=8.36727e-139 t=125272
yang 	樣	c=42 d=0.000134423 t=125272
yang 	癢	c=1 d=9.88134e-37 t=125272
yang 	羊	c=3 d=1.1756e-109 t=125272
yang 	陽	c=1 d=1.2697e-162 t=125272
yang 	養	c=4 d=0.000135032 t=125272
yang bu qi 	養不起	c=1 d=0.000174253 t=125272
yang cheng 	養成	c=1 d=9.90523e-36 t=125272
yang chou 	樣抽	c=1 d=2.6062e-34 t=125272
yang cong 	洋蔥	c=1 d=2.43259e-164 t=125272
yang guang 	陽光	c=2 d=2.3722e-133 t=125272
yang hua 	氧化	c=1 d=3.89677e-178 t=125272
yang hua 	養花	c=1 d=3.93592e-178 t=125272
yang huo 	養活	c=2 d=1.43675e-28 t=125272
yang jia 	養家	c=2 d=2.52591e-241 t=125272
yang lao 	養老	c=2 d=2.9086e-126 t=125272
yang lao shi 	養老是	c=2 d=8.32554e-139 t=125272
yang niu 	洋妞	c=1 d=2.33942e-87 t=125272
yang sheng 	養生	c=1 d=2.95987e-178 t=125272
yang shi 	樣式	c=27 d=0.0178904 t=125272
yang si 	養死	c=1 d=1.21139e-109 t=125272
yang wo qi zuo 	仰臥起坐	c=1 d=1 t=125254
yang yang 	樣樣	c=1 d=4.93425e-161 t=125272
yang yong 	仰泳	c=1 d=8.13183e-68 t=125272
yang yu 	養育	c=0 d=5.45266e-249 t=125272
yang zhen 	癢疹	c=1 d=1.53503e-218 t=125272
yang zhen ling 	楊振另	c=1 d=1.55046e-218 t=125272
yang zhou 	揚州	c=2 d=8.77178e-165 t=125272
yang zi 	樣子	c=25 d=5.36921e-08 t=125272
yao 	咬	c=4 d=1.89468e-162 t=125272
yao 	妖	c=1 d=7.31039e-168 t=125272
yao 	姚	c=1 d=5.52901e-147 t=125272
yao 	洮	c=1 d=5.55672e-147 t=125272
yao 	藥	c=7 d=4.14975e-27 t=125272
yao 	要	c=626 d=1.20174 t=125272
yao bao 	腰包	c=1 d=3.5896e-212 t=125272
yao bu 	要不	c=77 d=1.46525 t=125272
yao bu lai 	要不來	c=1 d=3.19754e-28 t=125272
yao bu ya 	要不丫	c=1 d=1.3461e-26 t=125272
yao bu yao 	要不要	c=64 d=0.000757869 t=125272
yao cheng 	要成	c=1 d=9.85583e-36 t=125272
yao da 	要打	c=1 d=1.73263e-172 t=125272
yao de 	要得	c=2 d=9.37386e-05 t=125272
yao dian 	藥店	c=2 d=9.28059e-05 t=125272
yao dian 	要點	c=1 d=2.66392e-27 t=125272
yao fou 	要否	c=1 d=1.32498e-134 t=125272
yao guan zi 	藥罐子	c=1 d=1.58187e-13 t=125272
yao jia 	要加	c=1 d=5.58784e-242 t=125272
yao jiao 	要教	c=1 d=3.12699e-89 t=125272
yao kan 	要看	c=2 d=6.45463e-27 t=125272
yao kong 	遙控	c=1 d=1.03411e-71 t=125272
yao kong qi 	遙控器	c=1 d=9.98543e-72 t=125272
yao lai 	要來	c=1 d=3.66558e-135 t=125272
yao ma 	要嘛	c=3 d=2.25435e-63 t=125272
yao ming 	要命	c=2 d=4.50956e-161 t=125272
yao pian 	要騙	c=1 d=1.62949e-09 t=125272
yao qian 	要錢	c=4 d=5.24373e-85 t=125272
yao qing 	邀請	c=23 d=1.9119e-07 t=125272
yao qing ma 	邀請嘛	c=1 d=2.88161e-245 t=125272
yao qing ma 	邀請碼	c=2 d=9.46432e-206 t=125272
yao qiu 	要求	c=5 d=5.78209e-56 t=125272
yao qu 	要去	c=2 d=1.29257e-78 t=125272
yao shang 	腰上	c=1 d=9.87238e-232 t=125272
yao shi 	要是	c=34 d=0.663542 t=125272
yao shi 	鑰匙	c=7 d=2.06684e-12 t=125272
yao shu 	妖術	c=1 d=2.55854e-199 t=125272
yao shuo 	要說	c=1 d=3.5571e-17 t=125272
yao si 	咬死	c=1 d=3.06163e-17 t=125272
yao su 	要素	c=0 d=6.04534e-22 t=125272
yao suan 	腰痠	c=0 d=8.84903e-34 t=125272
yao suan bei tong 	腰痠背痛	c=1 d=3.39404e-200 t=125272
yao suan tui kun 	腰痠腿困	c=1 d=8.89339e-33 t=125272
yao yan 	耀眼	c=1 d=2.2907e-251 t=125272
yao yang 	揄揚	c=0 d=2.26791e-252 t=125272
yao yong 	要用	c=3 d=7.83371e-11 t=125272
yao yuan 	遙遠	c=3 d=2.30184e-73 t=125272
yao zong 	妖總	c=12 d=1.14918e-77 t=125272
yao zou 	要走	c=2 d=5.29191e-208 t=125272
yao zuo 	要做	c=3 d=1.71718e-08 t=125272
